ID,Fhat3
CroCro_0001,-0.0605308
A-003,-0.0280505
CroCro_0003,-0.00994692
A-009,-0.0247629
CroCro_0005,-0.031533
A-013,-0.0260255
CroCro_0008,-0.0193288
CroCro_0009,-0.026433
A-040,0.00675278
A-041,-0.0321655
A-046,-0.0249887
CroCro_0016,-0.0354067
CroCro_0019,-0.0169022
A-054,-0.0112874
A-056,-0.0162442
CroCro_0022,-0.00512286
A-080,-0.0214684
CroCro_0024,-0.0157772
A-087,-0.0170383
CroCro_0026,-0.0220073
CroCro_0027,0.00403985
A-093,-0.0194761
CroCro_0029,0.00842881
CroCro_0030,-0.0285484
CroCro_0031,0.0162038
A-104,0.0063622
CroCro_0033,-0.00964631
CroCro_0034,-0.00735507
CroCro_0035,-0.00993475
CroCro_0036,-0.0317172
A-109,-0.0382922
CroCro_0038,-0.00420146
CroCro_0039,-0.0255544
CroCro_0040,-0.006909
CroCro_0041,-0.038637
CroCro_0042,-0.0166077
A-119,0.0599636
A-121,-0.0139126
A-122,-0.0226735
CroCro_0046,-0.0324862
A-124,-0.0155353
CroCro_0048,0.0413557
CroCro_0049,-0.00161554
CroCro_0050,0.0339932
CroCro_0051,-9.78888e-5
A-130,0.0276218
CroCro_0053,-0.0283024
CroCro_0054,-0.0289555
CroCro_0055,-0.0107892
CroCro_0056,-0.0273789
A-137,-0.0591794
CroCro_0058,-0.0322121
CroCro_0059,-0.0174987
CroCro_0060,-0.0241906
A-142,-0.0363082
A-143,-0.0243897
CroCro_0063,-0.0261336
A-145,-0.0166357
CroCro_0065,-0.00576534
CroCro_0066,0.0185321
CroCro_0067,0.0152279
A-150,-0.0269258
CroCro_0069,-0.0174339
CroCro_0070,-0.0401087
CroCro_0071,0.0107524
A-159,0.00566474
CroCro_0073,-0.0164169
A-164,-0.045241
A-165,-0.0335562
A-166,-0.0487141
CroCro_0077,0.128706
CroCro_0078,0.0111962
CroCro_0079,-0.0235386
A-178,-0.0382994
CroCro_0081,0.0174308
CroCro_0082,-0.00486241
CroCro_0083,-0.013818
CroCro_0084,-0.0316904
CroCro_0085,-0.025913
CroCro_0086,0.319427
A-192,-0.0237591
A-194,-0.0184225
A-195,-0.0156111
CroCro_0090,0.00820887
CroCro_0091,0.0206321
CroCro_0092,0.0241653
CroCro_0093,0.0487921
CroCro_0094,0.00624126
CroCro_0095,0.0362402
CroCro_0096,-0.0278671
CroCro_0097,-0.0404759
CroCro_0098,-0.00765827
CroCro_0099,-0.01376
CroCro_0100,-0.00287978
CroCro_0101,-0.00593911
CroCro_0102,0.0214534
CroCro_0103,-0.0172141
CroCro_0104,-0.00706784
CroCro_0105,0.00522491
CroCro_0106,-0.0342567
CroCro_0107,0.146422
CroCro_0108,-0.0142288
A-230,-0.0263493
A-231,-0.0522711
CroCro_0111,0.0196739
CroCro_0112,0.00307204
CroCro_0113,-0.0127173
A-235,-0.0261443
CroCro_0115,-0.0354551
A-238,-0.00878529
CroCro_0117,-0.0186459
CroCro_0118,-0.00968196
CroCro_0119,-0.0329577
CroCro_0120,-0.0376352
A-247,-0.00247355
CroCro_0122,-0.0266608
CroCro_0123,0.0137628
A-252,-0.0130348
CroCro_0126,-0.0104323
CroCro_0127,-0.0231037
A-256,-0.0264771
A-257,-0.00969579
A-259,-0.0413927
CroCro_0131,-0.0212635
CroCro_0132,-0.00237284
CroCro_0133,-1.43986e-4
A-264,-0.00539644
A-267,0.00319794
A-273,-0.012577
CroCro_0137,-0.00662491
A-275,-0.0219949
CroCro_0139,-0.0063704
CroCro_0140,-0.019344
CroCro_0141,-0.0300173
CroCro_0142,-0.0323292
CroCro_0143,0.00498695
CroCro_0144,0.0027502
CroCro_0145,-0.0191412
A-286,-0.03185
CroCro_0147,-0.0465257
CroCro_0148,0.0104296
CroCro_0149,-0.0321732
CroCro_0151,-0.0211255
CroCro_0152,-0.0155616
CroCro_0153,-0.0210463
CroCro_0154,-4.29534e-4
CroCro_0155,-0.00326752
CroCro_0156,0.0376773
CroCro_0157,0.00157288
CroCro_0158,-0.00465859
CroCro_0159,0.00906547
A-303,-0.00205019
A-304,-0.0112542
A-305,-0.0404286
A-306,-0.0336065
CroCro_0164,-0.0110697
CroCro_0165,-0.00234459
CroCro_0166,-0.0153966
CroCro_0167,-0.00493856
CroCro_0168,0.00207659
CroCro_0169,-0.00473548
CroCro_0170,-0.0332766
A-326,0.0130099
A-327,-0.0278371
CroCro_0173,-0.0126283
CroCro_0174,-0.010269
CroCro_0175,-0.0125609
CroCro_0176,0.0116244
CroCro_0177,0.00768714
CroCro_0178,-0.0240751
CroCro_0179,-0.0201945
A-355,0.0358291
CroCro_0181,-0.0368518
A-357,-0.0201073
A-359,-0.0266152
CroCro_0184,0.0295669
CroCro_0185,-0.00879951
A-365,5.52661e-4
A-367,0.0462056
CroCro_0188,-0.0156463
A-372,-0.0232089
A-373,-0.0153776
A-374,-0.021289
CroCro_0192,0.021018
A-377,-0.0144577
CroCro_0194,-0.0237441
CroCro_0195,-0.0146141
CroCro_0196,-0.00593178
CroCro_0197,0.026995
CroCro_0198,0.00530657
A-386,-0.011267
CroCro_0200,-0.0262496
CroCro_0201,0.00620737
A-394,-0.0123298
A-395,-0.00889764
A-398,-0.00454662
CroCro_0205,-0.0135502
A-401,-0.0145441
CroCro_0207,0.0276026
A-406,0.00225599
CroCro_0209,-0.0342953
A-413,0.00739299
CroCro_0211,-0.0313139
CroCro_0212,-0.00546277
CroCro_0213,-0.0372697
CroCro_0214,0.0327973
CroCro_0215,-0.0377325
CroCro_0216,-0.0130348
CroCro_0217,0.0127712
CroCro_0218,0.0260647
CroCro_0219,-0.0159841
CroCro_0220,-0.0146042
CroCro_0221,-4.18183e-6
CroCro_0222,-0.0138608
CroCro_0223,-0.00311984
