"ID","mother","mother_social","father","sex","birth_clan","birth_date","birth_year","mother_rank_ord","mother_rank_std","mother_rank_std_0_1","lifespan","left_censored","right_censored","Fped","total_number_cubs","ancestors","n_ancestors","clansize_native","clansize_all","keep_mainclan_born","keep_non_adopted","keep_followed_atleast4yrs","keep_followed_atleast8yrs","keep_followed_atleast10yrs","keep_followed_atleast12yrs","keep_survived_to_24m","keep_left_uncensored","keep_right_uncensored","keep_sextets_and_septets"
"CroCro_0001",NA,NA,NA,"female","A",1988-05-21,1988,NA,NA,NA,19.047227926078,TRUE,FALSE,0,15,NA,0,2,3,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_4886",NA,NA,NA,"female","A",1992-10-21,1992,NA,NA,NA,4.99931553730322,TRUE,FALSE,0,1,NA,0,10,12,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"A-003",NA,NA,NA,"female","A",1989-05-21,1989,NA,NA,NA,15.6878850102669,TRUE,FALSE,0,11,NA,0,3,6,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_5729",NA,NA,NA,"female","A",1988-07-13,1988,NA,NA,NA,9.00752908966461,TRUE,FALSE,0,1,NA,0,2,4,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_4548",NA,NA,NA,"female","A",1991-07-17,1991,NA,NA,NA,19.6112251882272,TRUE,FALSE,0,10,NA,0,7,9,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_3998",NA,NA,NA,"female","A",1988-07-14,1988,NA,NA,NA,8.05201916495551,TRUE,FALSE,0,1,NA,0,2,5,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_0003","CroCro_5402","CroCro_5402","A-045","female","A",1994-05-21,1994,NA,NA,NA,14.5297741273101,TRUE,FALSE,0,10,NA,2,13,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"A-009",NA,NA,NA,"female","A",1994-01-16,1994,NA,NA,NA,12.7830253251198,TRUE,FALSE,0,8,NA,0,12,16,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_0005","CroCro_0001","CroCro_0001","A-045","female","A",1994-09-21,1994,NA,NA,NA,5.37713894592745,TRUE,FALSE,0,4,NA,2,15,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_0006",NA,NA,NA,"male","X",1992-04-14,1992,NA,NA,NA,12.0082135523614,TRUE,FALSE,0,8,NA,0,5,31,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"A-013",NA,NA,NA,"female","A",1991-12-07,1991,NA,NA,NA,19.8329911019849,TRUE,FALSE,0,11,NA,0,7,11,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_4799",NA,NA,NA,"female","A",1983-09-25,1983,NA,NA,NA,14.0533880903491,TRUE,FALSE,0,2,NA,0,0,1,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_5402",NA,NA,NA,"female","A",1990-07-17,1990,NA,NA,NA,16.9390828199863,TRUE,FALSE,0,8,NA,0,6,7,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_4340",NA,NA,NA,"female","A",1991-06-18,1991,NA,NA,NA,16.5749486652977,TRUE,FALSE,0,11,NA,0,6,8,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_4168",NA,NA,NA,"female","A",1985-04-10,1985,NA,NA,NA,13.4318959616701,TRUE,FALSE,0,0,NA,0,1,2,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"CroCro_0008","CroCro_0001","CroCro_0001","A-045","female","A",1994-09-21,1994,NA,NA,NA,9.76865160848734,TRUE,FALSE,0,7,NA,2,15,26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
